Time (s),Voltage (V),Current (pA/pF)
1.8564,-0.08,-2.9860642179844312
1.8565,-0.08,-2.4484557873492694
1.8566,-0.08,-2.799069981241766
1.8567,-0.08,-2.927628519002348
1.8568,-0.08,-2.8925670996130988
1.8569,-0.08,-2.8341314006310157
1.857,-0.08,-2.635450024091934
1.8571000000000002,-0.08,-2.9510027985951814
1.8572000000000002,-0.08,-2.612075744499101
1.8573000000000002,-0.08,-2.740634282259683
1.8574000000000002,-0.08,-2.6471371638883507
1.8575000000000002,-0.08,-2.939315658798765
1.8576000000000001,-0.08,-2.506891486331352
1.8577000000000001,-0.08,-2.612075744499101
1.8578000000000001,-0.08,-2.799069981241766
1.8579,-0.08,-2.6821985832776
1.858,-0.08,-2.927628519002348
1.8581,-0.08,-2.7289471424632668
1.8582,-0.08,-2.8107571210381828
1.8583,-0.08,-2.658824303684767
1.8584,-0.08,-2.962689938391598
1.8585,-0.08,-2.7289471424632668
1.8586,-0.08,-2.799069981241766
1.8587,-0.08,-2.799069981241766
1.8588,-0.08,-2.799069981241766
1.8589,-0.08,-2.962689938391598
1.859,-0.08,-2.541952905720602
1.8591000000000002,-0.08,-2.8691928200202654
1.8592000000000002,-0.08,-2.6705114434811836
1.8593000000000002,-0.08,-2.740634282259683
1.8594000000000002,-0.08,-2.600388604702685
1.8595000000000002,-0.08,-2.600388604702685
1.8596000000000001,-0.08,-2.880879959816682
1.8597000000000001,-0.08,-2.401707228163603
1.8598000000000001,-0.08,-2.822444260834599
1.8599,-0.08,-2.6237628842955174
1.86,-0.08,-3.0328127771700975
1.8601,-0.08,-2.4718300669421023
1.8602,-0.08,-2.7055728628704334
1.8603,-0.08,-2.8341314006310157
1.8604,-0.08,-2.6821985832776
1.8605,-0.08,-2.740634282259683
1.8606,-0.08,-2.612075744499101
1.8607,-0.08,-2.7873828414453494
1.8608,-0.08,-2.6471371638883507
